=====================================
性能分析报告
=====================================
分析时间: 2026-04-11T18:50:49.689111
执行时间: 3.05秒
内存使用变化: 4.45MB
CPU使用变化: 0.00%

热点函数:
--------------------------------------------------------------------------------
ncalls     tottime    percall    cumtime    percall_cum filename             lineno     function            
--------------------------------------------------------------------------------
2          0.0000     0.0000     5.6320     2.8160     C:\python\python3.12\Lib\site-packages\backtrader\cerebro.py:1030(run)                                
2          0.0010     0.0010     5.6310     2.8160     C:\python\python3.12\Lib\site-packages\backtrader\cerebro.py:1171(runstrategies)                                
2          0.0130     0.0070     3.3600     1.6800     C:\python\python3.12\Lib\site-packages\backtrader\cerebro.py:1649(_runonce)                                
1          0.0000     0.0000     2.9450     2.9450     C:\Users\21471\WorkBuddy\quant system\test_optimization_performance.py:64(run_optimized_backtest)                     
1          0.0000     0.0000     2.9430     2.9430     C:\Users\21471\WorkBuddy\quant system\backtest_system\optimized_backtest_engine.py:66(run_backtest)                     
1          0.0000     0.0000     2.7780     2.7780     C:\Users\21471\WorkBuddy\quant system\test_optimization_performance.py:50(run_original_backtest)                     
1          0.0010     0.0010     2.7750     2.7750     C:\Users\21471\WorkBuddy\quant system\backtest_system\backtest_engine.py:75(run_backtest)                     
200        0.0080     0.0000     2.2620     0.0110     C:\python\python3.12\Lib\site-packages\backtrader\strategy.py:292(_oncepost)                                
16         0.0050     0.0000     2.1600     0.1350     C:\python\python3.12\Lib\site-packages\backtrader\feed.py:438(preload)                                
1616       0.0350     0.0000     2.1540     0.0010     C:\python\python3.12\Lib\site-packages\backtrader\feed.py:471(load)                                
--------------------------------------------------------------------------------

详细统计:
         2181910 function calls (2140130 primitive calls) in 5.724 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    5.632    2.816 C:\python\python3.12\Lib\site-packages\backtrader\cerebro.py:1030(run)
        2    0.001    0.001    5.631    2.816 C:\python\python3.12\Lib\site-packages\backtrader\cerebro.py:1171(runstrategies)
        2    0.013    0.007    3.360    1.680 C:\python\python3.12\Lib\site-packages\backtrader\cerebro.py:1649(_runonce)
        1    0.000    0.000    2.945    2.945 C:\Users\21471\WorkBuddy\quant system\test_optimization_performance.py:64(run_optimized_backtest)
        1    0.000    0.000    2.943    2.943 C:\Users\21471\WorkBuddy\quant system\backtest_system\optimized_backtest_engine.py:66(run_backtest)
        1    0.000    0.000    2.778    2.778 C:\Users\21471\WorkBuddy\quant system\test_optimization_performance.py:50(run_original_backtest)
        1    0.001    0.001    2.775    2.775 C:\Users\21471\WorkBuddy\quant system\backtest_system\backtest_engine.py:75(run_backtest)
      200    0.008    0.000    2.262    0.011 C:\python\python3.12\Lib\site-packages\backtrader\strategy.py:292(_oncepost)
       16    0.005    0.000    2.160    0.135 C:\python\python3.12\Lib\site-packages\backtrader\feed.py:438(preload)
     1616    0.035    0.000    2.154    0.001 C:\python\python3.12\Lib\site-packages\backtrader\feed.py:471(load)
     1616    0.148    0.000    1.995    0.001 C:\python\python3.12\Lib\site-packages\backtrader\feeds\pandafeed.py:234(_load)
     8000    0.174    0.000    1.555    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\indexing.py:1177(__getitem__)
      200    0.119    0.001    1.022    0.005 C:\python\python3.12\Lib\site-packages\backtrader\strategy.py:577(_notify)
     8000    0.042    0.000    1.004    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\frame.py:4202(_get_value)
