=====================================
性能分析报告
=====================================
分析时间: 2026-04-11T18:50:46.420195
执行时间: 2.88秒
内存使用变化: 4.96MB
CPU使用变化: 0.00%

热点函数:
--------------------------------------------------------------------------------
ncalls     tottime    percall    cumtime    percall_cum filename             lineno     function            
--------------------------------------------------------------------------------
1          0.0000     0.0000     2.7780     2.7780     C:\Users\21471\WorkBuddy\quant system\test_optimization_performance.py:50(run_original_backtest)                     
1          0.0010     0.0010     2.7750     2.7750     C:\Users\21471\WorkBuddy\quant system\backtest_system\backtest_engine.py:75(run_backtest)                     
1          0.0000     0.0000     2.7240     2.7240     C:\python\python3.12\Lib\site-packages\backtrader\cerebro.py:1030(run)                                
1          0.0010     0.0010     2.7230     2.7230     C:\python\python3.12\Lib\site-packages\backtrader\cerebro.py:1171(runstrategies)                                
1          0.0060     0.0060     1.6090     1.6090     C:\python\python3.12\Lib\site-packages\backtrader\cerebro.py:1649(_runonce)                                
100        0.0040     0.0000     1.0830     0.0110     C:\python\python3.12\Lib\site-packages\backtrader\strategy.py:292(_oncepost)                                
8          0.0020     0.0000     1.0450     0.1310     C:\python\python3.12\Lib\site-packages\backtrader\feed.py:438(preload)                                
808        0.0170     0.0000     1.0420     0.0010     C:\python\python3.12\Lib\site-packages\backtrader\feed.py:471(load)                                
808        0.0730     0.0000     0.9650     0.0010     C:\python\python3.12\Lib\site-packages\backtrader\feeds\pandafeed.py:234(_load)                                
4000       0.0910     0.0000     0.7530     0.0000     C:\python\python3.12\Lib\site-packages\pandas\core\indexing.py:1177(__getitem__)                                
--------------------------------------------------------------------------------

详细统计:
         1092620 function calls (1071668 primitive calls) in 2.779 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    2.778    2.778 C:\Users\21471\WorkBuddy\quant system\test_optimization_performance.py:50(run_original_backtest)
        1    0.001    0.001    2.775    2.775 C:\Users\21471\WorkBuddy\quant system\backtest_system\backtest_engine.py:75(run_backtest)
        1    0.000    0.000    2.724    2.724 C:\python\python3.12\Lib\site-packages\backtrader\cerebro.py:1030(run)
        1    0.001    0.001    2.723    2.723 C:\python\python3.12\Lib\site-packages\backtrader\cerebro.py:1171(runstrategies)
        1    0.006    0.006    1.609    1.609 C:\python\python3.12\Lib\site-packages\backtrader\cerebro.py:1649(_runonce)
      100    0.004    0.000    1.083    0.011 C:\python\python3.12\Lib\site-packages\backtrader\strategy.py:292(_oncepost)
        8    0.002    0.000    1.045    0.131 C:\python\python3.12\Lib\site-packages\backtrader\feed.py:438(preload)
      808    0.017    0.000    1.042    0.001 C:\python\python3.12\Lib\site-packages\backtrader\feed.py:471(load)
      808    0.073    0.000    0.965    0.001 C:\python\python3.12\Lib\site-packages\backtrader\feeds\pandafeed.py:234(_load)
     4000    0.091    0.000    0.753    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\indexing.py:1177(__getitem__)
     4000    0.020    0.000    0.482    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\frame.py:4202(_get_value)
      100    0.056    0.001    0.480    0.005 C:\python\python3.12\Lib\site-packages\backtrader\strategy.py:577(_notify)
     4000    0.035    0.000    0.438    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\frame.py:3994(_ixs)
      100    0.004    0.000    0.389    0.004 C:\Users\21471\WorkBuddy\quant system\backtest_system\strategy_adapter.py:224(next)
      100    0.009    0.000    0.373    0.004 C:\python\python3.12\Lib\site-packages\backtrader\cerebro.py:1360(_brokernotify)
      100    0.016    0.000    0.302    0.003 C:\python\python3.12\Lib\site-packages\backtrader\brokers\bbroker.py:1176(next)
6930/5445    0.015    0.000    0.255    0.000 C:\python\python3.12\Lib\site-packages\backtrader\analyzer.py:166(_notify_trade)
     4000    0.030    0.000    0.231    0.000 C:\python\python3.12\Lib\site-packages\pandas\core\frame.py:4619(_box_col_values)
  620/532    0.015    0.000    0.226    0.000 C:\python\python3.12\Lib\site-packages\backtrader\metabase.py:84(__call__)
      495    0.117    0.000    0.206    0.000 C:\python\python3.12\Lib\site-packages\backtrader\analyzers\tradeanalyzer.py:76(notify_trade)
      100    0.015    0.000    0.161    0.002 C:\Users\21471\WorkBuddy\quant system\backtest_system\strategy_adapter.py:277(_execute_buys)
      990    0.037    0.000    0.146    0.000 C:\python\python3.12\Lib\site-packages\backtrader\brokers\bbroker.py:687(_execute)
      100    0.011    0.000    0.146    0.001 C:\Users\21471\WorkBuddy\quant system\backtest_system\strategy_adapter.py:340(_execute_sells)
20790/16335    0.035    0.000    0.144    0.000 C:\python\python3.12\Lib\site-packages\backtrader\analyzer.py:172(_notify_order)
      495    0.005    0.000    0.144    0.000 C:\python\python3.12\Lib\site-packages\backtrader\brokers\bbroker.py:1040(_try_exec)
      495    0.008    0.000    0.137    0.000 C:\python\python3.12\Lib\site-packages\backtrader\brokers\bbroker.py:853(_try_exec_market)
      100    0.008    0.000    0.137    0.001 C:\python\python3.12\Lib\site-packages\backtrader\strategy.py:355(_next_observers)
      250    0.003    0.000    0.125    0.001 C:\python\python3.12\Lib\site-packages\backtrader\strategy.py:774(buy)
      250    0.003    0.000    0.125    0.000 C:\python\python3.12\Lib\site-packages\backtrader\strategy.py:943(sell)
     1490    0.004    0.000    0.124    0.000 C:\python\python3.12\Lib\site-packages\backtrader\brokers\bbroker.py:847(notify)
