=====================================
性能分析报告
=====================================
分析时间: 2026-04-11T18:46:27.715557
执行时间: 1.02秒
内存使用变化: 0.02MB
CPU使用变化: 0.00%

热点函数:
--------------------------------------------------------------------------------
ncalls     tottime    percall    cumtime    percall_cum filename             lineno     function            
--------------------------------------------------------------------------------
1          0.3950     0.3950     0.9150     0.9150     C:\Users\21471\WorkBuddy\quant system\test_simple_performance.py:20(test_function)                     
1          0.5080     0.5080     0.5080     0.5080     {built-in            method     time.sleep}         
3          0.0010     0.0000     0.0130     0.0040     C:\python\python3.12\Lib\logging\__init__.py:1479(info)                                
3          0.0000     0.0000     0.0120     0.0040     C:\python\python3.12\Lib\logging\__init__.py:1610(_log)                                
3          0.0000     0.0000     0.0110     0.0040     C:\python\python3.12\Lib\logging\__init__.py:1636(handle)                                
3          0.0000     0.0000     0.0110     0.0040     C:\python\python3.12\Lib\logging\__init__.py:1690(callHandlers)                                
3          0.0000     0.0000     0.0110     0.0040     C:\python\python3.12\Lib\logging\__init__.py:965(handle)                                
3          0.0000     0.0000     0.0110     0.0040     C:\python\python3.12\Lib\logging\__init__.py:1098(emit)                                
3          0.0100     0.0030     0.0100     0.0030     {method              'write'    of '_io.TextIOWrapper' objects}
3          0.0000     0.0000     0.0010     0.0000     C:\python\python3.12\Lib\logging\__init__.py:1595(makeRecord)                                
--------------------------------------------------------------------------------

详细统计:
         262 function calls in 0.917 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.395    0.395    0.915    0.915 C:\Users\21471\WorkBuddy\quant system\test_simple_performance.py:20(test_function)
        1    0.508    0.508    0.508    0.508 {built-in method time.sleep}
        3    0.001    0.000    0.013    0.004 C:\python\python3.12\Lib\logging\__init__.py:1479(info)
        3    0.000    0.000    0.012    0.004 C:\python\python3.12\Lib\logging\__init__.py:1610(_log)
        3    0.000    0.000    0.011    0.004 C:\python\python3.12\Lib\logging\__init__.py:1636(handle)
        3    0.000    0.000    0.011    0.004 C:\python\python3.12\Lib\logging\__init__.py:1690(callHandlers)
        3    0.000    0.000    0.011    0.004 C:\python\python3.12\Lib\logging\__init__.py:965(handle)
        3    0.000    0.000    0.011    0.004 C:\python\python3.12\Lib\logging\__init__.py:1098(emit)
        3    0.010    0.003    0.010    0.003 {method 'write' of '_io.TextIOWrapper' objects}
        3    0.000    0.000    0.001    0.000 C:\python\python3.12\Lib\logging\__init__.py:1595(makeRecord)
        3    0.000    0.000    0.001    0.000 C:\python\python3.12\Lib\logging\__init__.py:292(__init__)
        3    0.000    0.000    0.000    0.000 C:\python\python3.12\Lib\logging\__init__.py:1561(findCaller)
        3    0.000    0.000    0.000    0.000 C:\python\python3.12\Lib\logging\__init__.py:942(format)
        3    0.000    0.000    0.000    0.000 C:\python\python3.12\Lib\logging\__init__.py:674(format)
        3    0.000    0.000    0.000    0.000 <frozen ntpath>:242(basename)
        3    0.000    0.000    0.000    0.000 C:\python\python3.12\Lib\logging\__init__.py:1087(flush)
        3    0.000    0.000    0.000    0.000 <frozen ntpath>:208(split)
        6    0.000    0.000    0.000    0.000 C:\python\python3.12\Lib\logging\__init__.py:922(acquire)
        9    0.000    0.000    0.000    0.000 C:\python\python3.12\Lib\logging\__init__.py:194(_is_internal_frame)
        3    0.000    0.000    0.000    0.000 C:\python\python3.12\Lib\logging\__init__.py:606(formatTime)
        1    0.000    0.000    0.000    0.000 C:\Users\21471\WorkBuddy\quant system\core\performance_analyzer.py:59(stop)
        3    0.000    0.000    0.000    0.000 <frozen ntpath>:154(splitdrive)
        9    0.000    0.000    0.000    0.000 <frozen ntpath>:51(normcase)
        3    0.000    0.000    0.000    0.000 C:\python\python3.12\Lib\logging\__init__.py:164(<lambda>)
        3    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        3    0.000    0.000    0.000    0.000 {built-in method time.localtime}
        3    0.000    0.000    0.000    0.000 <frozen ntpath>:231(splitext)
        3    0.000    0.000    0.000    0.000 {built-in method time.strftime}
        3    0.000    0.000    0.000    0.000 <frozen genericpath>:121(_splitext)
        3    0.000    0.000    0.000    0.000 C:\python\python3.12\Lib\logging\__init__.py:658(formatMessage)
        9    0.000    0.000    0.000    0.000 {built-in method _winapi.LCMapStringEx}
        3    0.000    0.000    0.000    0.000 C:\python\python3.12\Lib\logging\__init__.py:447(format)
       18    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        3    0.000    0.000    0.000    0.000 C:\python\python3.12\Lib\logging\__init__.py:440(_format)
        3    0.000    0.000    0.000    0.000 C:\python\python3.12\Lib\logging\__init__.py:652(usesTime)
        6    0.000    0.000    0.000    0.000 C:\python\python3.12\Lib\logging\__init__.py:929(release)
        3    0.000    0.000    0.000    0.000 C:\python\python3.12\Lib\logging\__init__.py:432(usesTime)
        6    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        3    0.000    0.000    0.000    0.000 C:\python\python3.12\Lib\logging\__init__.py:123(getLevelName)
        3    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        9    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        3    0.000    0.000    0.000    0.000 C:\python\python3.12\Lib\logging\__init__.py:1734(isEnabledFor)
       18    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
       12    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        3    0.000    0.000    0.000    0.000 C:\python\python3.12\Lib\threading.py:1453(current_thread)
        6    0.000    0.000    0.000    0.000 C:\python\python3.12\Lib\logging\__init__.py:815(filter)
        3    0.000    0.000    0.000    0.000 C:\python\python3.12\Lib\logging\__init__.py:368(getMessage)
        3    0.000    0.000    0.000    0.000 <frozen ntpath>:35(_get_bothseps)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        6    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 {built-in method time.time}
        3    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        3    0.000    0.000    0.000    0.000 C:\python\python3.12\Lib\threading.py:1152(name)
        3    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        3    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
        6    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


